total_rx,trend,seasonality,state,total_rx_lag1,consumer_adherence_program_taccess_alazzo_klick_emails.sent_email,consumer_adheris_in_home.print,consumer_adheris_in_pharmacy.print,consumer_branded_crm.sent_email,consumer_branded_facebook.impressions,consumer_branded_website.sessions,consumer_disease_state_lighter_blue_crm.sent_email,consumer_disease_state_lighter_blue_facebook.impressions,consumer_disease_state_lighter_blue_website.sessions,consumer_display_ads.impressions,consumer_online_tv.impressions,consumer_savings_card_copay_other.claims,consumer_savings_card_copay_web.claims,consumer_savings_card_mobile.claims,consumer_sem.impressions,hcp_biopharm_clintopics_email.sent_email,hcp_biopharm_formularyfacts_email.sent_email,hcp_biopharm_patient_care_briefs_email.sent_email,hcp_biopharm_patient_care_insights_email.sent_email,hcp_biopharm_rx_peer_insights_email.sent_email,hcp_biopharm_targetads_email.sent_email,hcp_biopharm_vacantterritory_direct_mail.sent_mail,hcp_biopharm_vacantterritory_email.sent_email,hcp_branded_website.sessions,hcp_display_ads.impressions,hcp_emr_media_klick.impressions,hcp_lundbeck_iengage_remote_meeting.detail,hcp_lundbeck_sales_rep_detailing_f2f.detail,hcp_lundbeck_sales_rep_detailing_lunch_learn.detail,hcp_lundbeck_sales_rep_detailing_phone.detail,hcp_lundbeck_sales_rep_sampling_10mg.samples_10mg,hcp_lundbeck_sales_rep_sampling_5mg.samples_5mg,hcp_my_sample_closet.shipped_quantity,hcp_rep_approved_emails.sent_email,hcp_savings_card_copay_rep_delivered.claims,hcp_savings_card_copay_web.claims,hcp_savings_card_free_trial.claims,hcp_sem.impressions,hcp_speaker_programs_blitz.attendees,hcp_speaker_programs_off_site.attendees,hcp_speaker_programs_on_site.attendees,hcp_speaker_programs_virtual.attendees,hcp_takeda_iengage_remote_meeting.detail,hcp_takeda_sales_rep_detailing_direct_mail_staff.detail,hcp_takeda_sales_rep_detailing_f2f_hcp.detail,hcp_takeda_sales_rep_detailing_f2f_staff.detail,hcp_takeda_sales_rep_detailing_phone_hcp.detail,hcp_takeda_sales_rep_detailing_phone_staff.detail,hcp_takeda_sales_rep_sampling_10mg.samples_10mg,hcp_takeda_sales_rep_sampling_5mg.samples_5mg,hcp_teledetailing_call.completed_call,hcp_teledetailing_sample_fulfillment.shipped_quantity
141.33924,0,October,AK,0,0,0,99,0,0,381,0,94623,239,44033,0,1,4,0,2738,0,0,0,0,0,0,0,0,58,0,0,0,44,0,0,9,4,0,0,10,1,0,1320,0,0,1,0,0,0,12,0,0,0,0,0,0,0
1889.34232,0,October,AL,0,0,0,649,0,0,4427,0,548624,1652,240614,0,33,206,0,28775,0,0,0,0,0,0,0,0,575,0,0,0,568.5,0,0,427,208,0,0,774,24,4,13089,0,2,12,0,0,0,3197.5,0,0,0,0,0,0,0
554.40478,0,October,AR,0,0,0,214,0,0,2223,0,379590,1035,151987,0,10,62,0,15332,0,0,0,0,0,0,0,0,275,0,0,0,125,0,0,256,116,0,0,198,2,0,6474,0,0,10,0,0,0,2126.9,0,0,0,0,0,0,0
1057.52366,0,October,AZ,0,0,0,658,0,0,4596,0,683560,2131,351460,0,16,77,0,31475,0,0,0,0,0,0,0,0,583,0,0,0,514,0,0,397,235,0,1,264,6,27,14551,0,0,0,0,0,0,1813.4,0,0,0,0,0,0,0
6128.38954,0,October,CA,0,0,0,1305,0,0,34189,0,2219511,11537,2521920,0,89,329,0,166060,0,0,0,0,0,0,0,0,3174,0,0,0,4296,0,0,3728,2039,0,22,997,45,0,77175,0,76,52,4,0,0,8584.6,0,0,0,0,0,0,0
807.59754,0,October,CO,0,0,0,628,0,0,3892,0,541653,1918,312084,0,10,66,0,26787,0,0,0,0,0,0,0,0,455,0,0,0,325,0,0,470,288,0,1,156,5,0,11537,0,16,6,3,0,0,1306.2,0,0,0,0,0,0,0
1575.2522,0,October,CT,0,0,0,497,0,0,2998,0,282715,1409,152075,0,10,63,0,21734,0,0,0,0,0,0,0,0,486,0,0,0,761,0,0,623,343,0,18,180,5,0,9847,0,14,0,0,0,0,1280.3,0,0,0,0,0,0,0
204.18054,0,October,DC,0,0,0,23,0,0,5465,0,29581,1519,317164,0,2,17,0,13841,0,0,0,0,0,0,0,0,565,0,0,0,339,0,0,157,88,0,0,28,4,0,4789,0,5,0,0,0,0,213.5,0,0,0,0,0,0,0
224.1397,0,October,DE,0,0,0,159,0,0,623,0,78785,284,37820,0,4,10,0,4583,0,0,0,0,0,0,0,0,63,0,0,0,310,0,0,158,115,0,0,43,1,0,2082,0,0,0,0,0,0,277.7,0,0,0,0,0,0,0
4016.39252,0,October,FL,0,0,0,1618,0,0,18550,0,1621947,5941,1111745,0,58,346,0,107588,0,0,0,0,0,0,0,0,1997,0,0,0,2169,0,0,2098,865,0,5,971,46,83,43960,0,12,20,2,0,0,5543.3,0,0,0,0,0,0,0
2537.20648,0,October,GA,0,0,0,984,0,0,15743,0,881860,4795,957318,0,42,270,0,63668,0,0,0,0,0,0,0,0,1665,0,0,0,953.5,0,0,1063,428,0,0,835,31,2,26336,0,19,14,0,0,0,3025.8,0,0,0,0,0,0,0
216.53498,0,October,HI,0,0,0,49,0,0,829,0,81971,344,89748,0,2,16,0,4857,0,0,0,0,0,0,0,0,82,0,0,0,119,0,0,210,100,0,0,61,2,0,2752,0,0,0,0,0,0,230.5,0,0,0,0,0,0,0
440.40958,0,October,IA,0,0,0,0,0,0,1816,0,396004,1149,133608,0,4,28,0,14991,0,0,0,0,0,0,0,0,226,0,0,0,502,0,0,597,255,0,5,68,1,13,6403,0,1,0,0,0,0,853.1,0,0,0,0,0,0,0
328.60822,0,October,ID,0,0,0,207,0,0,1037,0,189087,612,81126,0,5,18,0,8229,0,0,0,0,0,0,0,0,148,0,0,0,244,0,0,149,107,0,1,55,1,0,3643,0,21,0,0,0,0,671,0,0,0,0,0,0,0
