數據集(Samples),數據集(Nodes),演算法,used time,FDR,TPR,FPR,SHD,prediction positive
2000,300,Notears,131.9172986,0.067669173,0.688888889,0.000201478,57,133
2000,100,Notears,66.724473,0.025641026,0.633333333,0.000204499,22,39
2000,20,Notears,54.51643538,0,0.583333333,0,5,7
500,300,Notears,111.8866622,0.142857143,0.633333333,0.000425341,73,133
500,100,Notears,58.56780505,0.136363636,0.633333333,0.001226994,24,44
500,20,Notears,50.97232342,0.222222222,0.583333333,0.011235955,6,9
2000,300,GraNDAG,16770.99629,0.998706897,0.016666667,0.051869263,2477,2320
2000,100,GraNDAG,4547.222692,0,0.233333333,0,46,14
2000,20,GraNDAG,1169.795458,0,0.166666667,0,10,2
500,300,GraNDAG,10847.36681,0.76,0.066666667,0.000850683,197,50
500,100,GraNDAG,10062.82789,0.991896272,0.083333333,0.125153374,662,617
500,20,GraNDAG,2787.058948,0.926470588,0.416666667,0.353932584,67,68
2000,300,Lingam,7343.785604,0.739130435,0.4,0.004566823,214,276
2000,100,Lingam,267.5211308,0.705882353,0.333333333,0.009815951,54,68
2000,20,Lingam,3.260390997,0.5625,0.583333333,0.050561798,10,16
500,300,Lingam,4407.97658,0.696581197,0.394444444,0.003648981,197,234
500,100,Lingam,160.3015606,0.646341463,0.483333333,0.010838446,62,82
500,20,Lingam,2.264395952,0.6,0.5,0.050561798,12,15
